#, movie, href, total gross, opening, opening daily avg, release date
"130", "An American Haunting (Freestyle)", "/statistics/movies/an-american-haunting-2006", "$16,298,990", "$5,783,508", "$1,927,836", "May 05, 2006"
"131", "Black Christmas (2006) (MGM / Weinstein)", "/statistics/movies/black-christmas-2006-2006", "$16,273,970", "$3,724,261", "$1,241,420", "Dec 25, 2006"
"132", "Marie Antoinette (Sony / Columbia)", "/statistics/movies/marie-antoinette-2006", "$15,962,465", "$5,361,965", "$1,787,322", "Oct 20, 2006"
"133", "Larry the Cable Guy: Health Inspector (Lionsgate)", "/statistics/movies/larry-the-cable-guy-health-inspector-2006", "$15,680,128", "$6,922,902", "$2,307,634", "Mar 24, 2006"
"134", "See No Evil (Lionsgate)", "/statistics/movies/see-no-evil-2006", "$15,029,527", "$4,581,910", "$1,527,303", "May 19, 2006"
"135", "Tristan and Isolde (Fox)", "/statistics/movies/tristan-and-isolde-2006", "$14,734,553", "$6,583,685", "$2,194,562", "Jan 13, 2006"
"136", "Everyone's Hero (Fox)", "/statistics/movies/everyone-s-hero-2006", "$14,523,311", "$6,061,817", "$2,020,606", "Sep 15, 2006"
"137", "Hollywoodland (Focus)", "/statistics/movies/hollywoodland-2006", "$14,426,776", "$5,926,177", "$1,975,392", "Sep 08, 2006"
"138", "Letters from Iwo Jima (Warner Bros.)", "/statistics/movies/letters-from-iwo-jima-2006", "$13,756,382", "$88,062", "$29,354", "Dec 20, 2006"
"139", "One Night with the King (Gener8Xion)", "/statistics/movies/one-night-with-the-king-2006", "$13,395,266", "$4,120,497", "$1,373,499", "Oct 10, 2006"
"140", "Friends with Money (Sony Pictures Classics)", "/statistics/movies/friends-with-money-2006", "$13,368,426", "$589,332", "$196,444", "Apr 07, 2006"
"141", "Flyboys (MGM)", "/statistics/movies/flyboys-2006", "$13,090,326", "$6,004,418", "$2,001,473", "Sep 22, 2006"
"142", "How to Eat Fried Worms (New Line)", "/statistics/movies/how-to-eat-fried-worms-2006", "$13,040,124", "$4,003,537", "$1,334,512", "Aug 25, 2006"
"143", "Volver (Sony Pictures Classics)", "/statistics/movies/volver-2006", "$12,899,662", "$197,703", "$65,901", "Nov 03, 2006"
"144", "Bon Cop, Bad Cop (Alliance Films)", "/statistics/movies/bon-cop-bad-cop-2006", "$12,665,638", "$1,433,259", "$477,753", "Aug 04, 2006"
"145", "Idlewild (Universal)", "/statistics/movies/idlewild-2006", "$12,571,138", "$5,745,745", "$1,915,248", "Aug 25, 2006"
"146", "Freedomland (Sony / Columbia)", "/statistics/movies/freedomland-2006", "$12,512,052", "$5,834,292", "$1,944,764", "Feb 17, 2006"
"147", "The Protector (2006) (The Weinstein Company)", "/statistics/movies/the-protector-2006-2006", "$12,044,886", "$5,033,377", "$1,677,792", "Sep 08, 2006"
"148", "Zoom (Sony / Columbia)", "/statistics/movies/zoom-2006", "$11,989,187", "$4,510,133", "$1,503,378", "Aug 11, 2006"
"149", "End of the Spear (Rocky Mountain Pictures)", "/statistics/movies/end-of-the-spear-2006", "$11,967,547", "$4,281,388", "$1,427,129", "Jan 20, 2006"
"150", "Dave Chappelle's Block Party (Rogue)", "/statistics/movies/dave-chappelle-s-block-party-2006", "$11,718,357", "$6,214,723", "$2,071,574", "Mar 03, 2006"
"151", "The Last Kiss (2006) (Paramount / DreamWorks)", "/statistics/movies/the-last-kiss-2006", "$11,614,011", "$4,628,733", "$1,542,911", "Sep 15, 2006"
"152", "Something New (Focus)", "/statistics/movies/something-new-2006", "$11,468,060", "$4,879,736", "$1,626,579", "Feb 03, 2006"
"153", "Material Girls (MGM)", "/statistics/movies/material-girls-2006", "$11,449,938", "$4,602,302", "$1,534,101", "Aug 18, 2006"
"154", "Bobby (MGM / Weinstein)", "/statistics/movies/bobby-2006", "$11,242,459", "$69,959", "$23,320", "Nov 17, 2006"
"155", "Scoop (Focus)", "/statistics/movies/scoop-2006", "$10,525,555", "$3,046,924", "$1,015,641", "Jul 28, 2006"
"156", "Roving Mars (Disney)", "/statistics/movies/roving-mars-imax-2006", "$10,407,583", "$412,337", "$137,446", "Jan 27, 2006"
"157", "Facing the Giants (IDP/Samuel Goldwyn)", "/statistics/movies/facing-the-giants-2006", "$10,178,007", "$1,343,537", "$447,846", "Sep 29, 2006"
"158", "The Fountain (Warner Bros.)", "/statistics/movies/the-fountain-2006", "$10,144,567", "$3,769,930", "$1,256,643", "Nov 22, 2006"
"159", "The Nightmare Before Christmas in 3-D (Disney)", "/statistics/movies/tim-burton-s-the-nightmare-before-christmas-in-3-d-2006-2006", "$8,700,263", "$3,278,423", "$1,092,808", "Oct 20, 2006"
"160", "Tenacious D in: The Pick of Destiny (New Line)", "/statistics/movies/tenacious-d-in-the-pick-of-destiny-2006", "$8,334,816", "$3,234,879", "$1,078,293", "Nov 22, 2006"
"161", "Hoot (New Line)", "/statistics/movies/hoot-2006", "$8,117,632", "$3,368,197", "$1,122,732", "May 05, 2006"
"162", "The Painted Veil (Warner Independent)", "/statistics/movies/the-painted-veil-2006", "$8,060,076", "$50,964", "$16,988", "Dec 20, 2006"
"163", "The Night Listener (Miramax)", "/statistics/movies/the-night-listener-2006", "$7,836,254", "$3,554,134", "$1,184,711", "Aug 04, 2006"
"164", "Slither (Universal)", "/statistics/movies/slither-2006", "$7,802,551", "$3,880,336", "$1,293,445", "Mar 31, 2006"
"165", "The Return (2006) (Rogue)", "/statistics/movies/the-return-2006", "$7,749,130", "$4,479,621", "$1,493,207", "Nov 10, 2006"
"166", "A Good Year (Fox)", "/statistics/movies/a-good-year-2006", "$7,459,507", "$3,720,936", "$1,240,312", "Nov 10, 2006"
"167", "Doogal (The Weinstein Company)", "/statistics/movies/doogal-2006", "$7,417,093", "$3,605,543", "$1,201,848", "Feb 24, 2006"
"168", "All the King's Men (2006) (Sony / Columbia)", "/statistics/movies/all-the-king-s-men-2006", "$7,221,749", "$3,672,277", "$1,224,092", "Sep 22, 2006"
"169", "American Dreamz (Universal)", "/statistics/movies/american-dreamz-2006", "$7,191,363", "$3,668,519", "$1,222,840", "Apr 21, 2006"
"170", "Phat Girlz (Fox Searchlight)", "/statistics/movies/phat-girlz-2006", "$7,061,233", "$3,109,090", "$1,036,363", "Apr 07, 2006"
"171", "Turistas (Fox Atomic)", "/statistics/movies/turistas-2006", "$7,027,419", "$3,582,062", "$1,194,021", "Dec 01, 2006"
"172", "Running with Scissors (Sony / Columbia)", "/statistics/movies/running-with-scissors-2006", "$7,022,737", "$226,196", "$75,399", "Oct 20, 2006"
"173", "Crossover (Sony / Columbia)", "/statistics/movies/crossover-2006", "$7,009,178", "$3,767,093", "$1,255,698", "Sep 01, 2006"
"174", "Running Scared (New Line)", "/statistics/movies/running-scared-2006", "$6,855,150", "$3,381,974", "$1,127,325", "Feb 24, 2006"
"175", "Curse of the Golden Flower (Sony Pictures Classics)", "/statistics/movies/curse-of-the-golden-flower-2006", "$6,566,773", "$479,595", "$159,865", "Dec 21, 2006"
"176", "Grandma's Boy (Fox)", "/statistics/movies/grandma-s-boy-2006", "$6,090,535", "$3,009,903", "$1,003,301", "Jan 06, 2006"
"177", "Basic Instinct 2 (Sony / Columbia)", "/statistics/movies/basic-instinct-2-2006", "$5,971,733", "$3,200,840", "$1,066,947", "Mar 31, 2006"
"178", "For Your Consideration (Warner Independent)", "/statistics/movies/for-your-consideration-2006", "$5,549,542", "$372,030", "$124,010", "Nov 17, 2006"
"179", "Water (2005) (Fox Searchlight)", "/statistics/movies/water-2006", "$5,529,200", "$57,633", "$19,211", "Apr 28, 2006"
"180", "A Scanner Darkly (Warner Independent)", "/statistics/movies/a-scanner-darkly-2006", "$5,501,970", "$392,862", "$130,954", "Jul 07, 2006"
"181", "Little Children (New Line)", "/statistics/movies/little-children-2006", "$5,463,092", "$97,953", "$32,651", "Oct 06, 2006"
"182", "The World's Fastest Indian (Magnolia)", "/statistics/movies/the-world-s-fastest-indian-2005", "$5,128,550", "$400,782", "$133,594", "Feb 03, 2006"
